Year,Emirate En,Emirate Ar,Geo Coordinates,Nationality Group En,Nationality Group Ar,Gender En,Gender Ar,Total
2013,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Expat,وافد,Male,ذكر,53
2014,Ajman,عجمان,"25.4052° N, 55.5136° E",Citizen,مواطن,Female,انثي,35
2014,Ajman,عجمان,"25.4052° N, 55.5136° E",Citizen,مواطن,Male,ذكر,54
2014,Ajman,عجمان,"25.4052° N, 55.5136° E",Expat,وافد,Female,انثي,95
2014,Ajman,عجمان,"25.4052° N, 55.5136° E",Expat,وافد,Male,ذكر,263
2014,Dubai,دبي,"25.2048° N, 55.2708° E",Citizen,مواطن,Female,انثي,229
2014,Dubai,دبي,"25.2048° N, 55.2708° E",Citizen,مواطن,Male,ذكر,289
2014,Dubai,دبي,"25.2048° N, 55.2708° E",Expat,وافد,Female,انثي,420
2014,Dubai,دبي,"25.2048° N, 55.2708° E",Expat,وافد,Male,ذكر,1381
2014,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Citizen,مواطن,Female,انثي,60
2014,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Citizen,مواطن,Male,ذكر,100
2014,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Expat,وافد,Female,انثي,19
2014,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Expat,وافد,Male,ذكر,119
2014,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Citizen,مواطن,Female,انثي,99
2014,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Citizen,مواطن,Male,ذكر,111
2014,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Expat,وافد,Female,انثي,59
2014,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Expat,وافد,Male,ذكر,228
2014,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Citizen,مواطن,Female,انثي,134
2014,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Citizen,مواطن,Male,ذكر,236
2014,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Expat,وافد,Female,انثي,243
2014,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Expat,وافد,Male,ذكر,798
2014,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Citizen,مواطن,Female,انثي,25
2014,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Citizen,مواطن,Male,ذكر,34
2014,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Expat,وافد,Female,انثي,20
2014,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Expat,وافد,Male,ذكر,61
2015,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Citizen,مواطن,Female,انثي,415
2015,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Citizen,مواطن,Male,ذكر,701
2015,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Expat,وافد,Female,انثي,555
