Year,Emirate En,Emirate Ar,Geo Coordinates,Sector En,Sector Ar,Category En,Category Ar,Gender En,Gender Ar,Total
2018,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Government,حكومي,Technicians,فنيون,Male,ذكر,189
2018,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Government,حكومي,Technicians,فنيون,Female,انثي,274
2018,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Private,خاص,Technicians,فنيون,Male,ذكر,177
2018,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Private,خاص,Technicians,فنيون,Female,انثي,204
2018,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Government,حكومي,Technicians,فنيون,Male,ذكر,134
2018,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Government,حكومي,Technicians,فنيون,Female,انثي,404
2018,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Private,خاص,Technicians,فنيون,Male,ذكر,136
2018,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Private,خاص,Technicians,فنيون,Female,انثي,143
2017,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Government,حكومي,Physician,طبيب,Male,ذكر,2492
2017,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Government,حكومي,Physician,طبيب,Female,انثي,1749
2017,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Private,خاص,Physician,طبيب,Male,ذكر,3327
2017,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Private,خاص,Physician,طبيب,Female,انثي,1880
2017,Dubai,دبي,"25.2048° N, 55.2708° E",Government,حكومي,Physician,طبيب,Male,ذكر,1016
2017,Dubai,دبي,"25.2048° N, 55.2708° E",Government,حكومي,Physician,طبيب,Female,انثي,1062
2017,Dubai,دبي,"25.2048° N, 55.2708° E",Private,خاص,Physician,طبيب,Male,ذكر,4308
2017,Dubai,دبي,"25.2048° N, 55.2708° E",Private,خاص,Physician,طبيب,Female,انثي,2704
2017,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Government,حكومي,Physician,طبيب,Male,ذكر,387
2017,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Government,حكومي,Physician,طبيب,Female,انثي,345
2017,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Private,خاص,Physician,طبيب,Male,ذكر,935
2017,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Private,خاص,Physician,طبيب,Female,انثي,745
2017,Ajman,عجمان,"25.4052° N, 55.5136° E",Government,حكومي,Physician,طبيب,Male,ذكر,132
2017,Ajman,عجمان,"25.4052° N, 55.5136° E",Government,حكومي,Physician,طبيب,Female,انثي,114
2017,Ajman,عجمان,"25.4052° N, 55.5136° E",Private,خاص,Physician,طبيب,Male,ذكر,224
2017,Ajman,عجمان,"25.4052° N, 55.5136° E",Private,خاص,Physician,طبيب,Female,انثي,172
2017,Umm Al Quwain,أم القيوين,"25.5426° N, 55.5475° E",Government,حكومي,Physician,طبيب,Male,ذكر,163
2017,Umm Al Quwain,أم القيوين,"25.5426° N, 55.5475° E",Government,حكومي,Physician,طبيب,Female,انثي,77
2017,Umm Al Quwain,أم القيوين,"25.5426° N, 55.5475° E",Private,خاص,Physician,طبيب,Male,ذكر,17
2017,Umm Al Quwain,أم القيوين,"25.5426° N, 55.5475° E",Private,خاص,Physician,طبيب,Female,انثي,10
2017,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Government,حكومي,Physician,طبيب,Male,ذكر,264
2017,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Government,حكومي,Physician,طبيب,Female,انثي,188
2017,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Private,خاص,Physician,طبيب,Male,ذكر,162
2017,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Private,خاص,Physician,طبيب,Female,انثي,95
2017,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Government,حكومي,Physician,طبيب,Male,ذكر,199
2017,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Government,حكومي,Physician,طبيب,Female,انثي,134
2017,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Private,خاص,Physician,طبيب,Male,ذكر,127
